AccountCode,AccountDescription,AccountCombined
1020,CASH CLEARING,1020-CASH CLEARING
1030,PETTY CASH,1030-PETTY CASH
1040,FLOATS,1040-FLOATS
1045,FLOAT ADJUSTMENTS - ADM,1045-FLOAT ADJUSTMENTS - ADM
1050,TD CHEQUING ACCOUNT-CDN$,1050-TD CHEQUING ACCOUNT-CDN$
1051,MASTERCARD DEPOSITS,1051-MASTERCARD DEPOSITS
1052,VISA DEPOSITS,1052-VISA DEPOSITS
1053,INTERAC/DEBIT CARD DEPOSITS,1053-INTERAC/DEBIT CARD DEPOSITS
1054,AMERICAN EXPRESS DEPOSITS,1054-AMERICAN EXPRESS DEPOSITS
1055,TD CHEQUING ACCOUNT-US$,1055-TD CHEQUING ACCOUNT-US$
1056,PAYROLL BANK,1056-PAYROLL BANK
1057,AP DISBURSEMENTS CAD$,1057-AP DISBURSEMENTS CAD$
1058,CAT FINANCIAL DEPOSITS,1058-CAT FINANCIAL DEPOSITS
1210,TRADE ACCOUNTS RECEIVABLE,1210-TRADE ACCOUNTS RECEIVABLE
1215,US$ ACCOUNTS RECEIVABLE,1215-US$ ACCOUNTS RECEIVABLE
1219,PCARD EMPLOYEE ADVANCES & RECEIVABLE,1219-PCARD EMPLOYEE ADVANCES & RECEIVABLE
1220,EMPLOYEE RECEIVABLE,1220-EMPLOYEE RECEIVABLE
1221,SUNLIFE ASO FUND,1221-SUNLIFE ASO FUND
1222,ALBERTA HEALTH CARE CLEARING ACCOUNT,1222-ALBERTA HEALTH CARE CLEARING ACCOUNT
1223,BC MEDICAL CLEARING ACCOUNT,1223-BC MEDICAL CLEARING ACCOUNT
1224,UNION DUES CLEARING ACCOUNT,1224-UNION DUES CLEARING ACCOUNT
1225,UNITED WAY CLEARING ACCOUNT,1225-UNITED WAY CLEARING ACCOUNT
1226,CANADA SAVINGS BONDS CLEARING ACCOUNT,1226-CANADA SAVINGS BONDS CLEARING ACCOUNT
1227,SUNLIFE CLEARING ACCOUNT,1227-SUNLIFE CLEARING ACCOUNT
1228,AD&D,1228-AD&D
1229,EMPLOYEE FAMILY ASSISTANCE PLAN,1229-EMPLOYEE FAMILY ASSISTANCE PLAN
1230,BC HEALTH TAX CLEARING ACCOUNT,1230-BC HEALTH TAX CLEARING ACCOUNT
1260,WARRANTY RECEIVABLE,1260-WARRANTY RECEIVABLE
1270,FINNING INTERCOMPANY RECEIVABLES,1270-FINNING INTERCOMPANY RECEIVABLES
1271,NON-TRADE FINNING SASK AR,1271-NON-TRADE FINNING SASK AR
1272,NON-TRADE 4REFUEL AR,1272-NON-TRADE 4REFUEL AR
1275,NOTES RECEIVABLE,1275-NOTES RECEIVABLE
1280,ALLOWANCE FOR DOUBTFUL ACCTS,1280-ALLOWANCE FOR DOUBTFUL ACCTS
1281,AFDA AR CURRENT,1281-AFDA AR CURRENT
1282,AFDA EXPENSE,1282-AFDA EXPENSE
1290,FINNING ACCT REC.,1290-FINNING ACCT REC.
1291,TRADE FINNING SASK AR,1291-TRADE FINNING SASK AR
1292,TRADE FINNING 4REFUEL AR,1292-TRADE FINNING 4REFUEL AR
1293,TRADE FINNING FUSED AR,1293-TRADE FINNING FUSED AR
1310,NEW EQUIPMENT,1310-NEW EQUIPMENT
